,Entity,Event
0,CoryBooker,"[0, 1]"
1,Rocks,[0]
2,Cialdini,"[2, 10]"
3,Malick,"[2, 17, 23]"
4,Giancarlo,"[2, 11, 21]"
5,ValaAfshar,"[4, 17]"
6,Shultz,[4]
7,Unknxwn,[5]
8,James,"[6, 8, 11, 19, 25]"
9,Richard,"[8, 9, 16, 17, 18]"
10,Austin,"[0, 3, 6, 8, 11, 13, 14, 15, 16, 17, 29, 31]"
11,Dogg,[8]
12,Frank,"[1, 8, 20, 28, 30]"
13,Oz,"[1, 8, 20, 30]"
14,Hurwitz,[10]
15,Leitch,"[10, 25]"
16,Dembele,"[11, 16]"
17,Chris,"[8, 9, 11, 12, 30]"
18,Maggie,"[6, 12, 22]"
19,Scott,"[4, 15, 25, 33]"
20,Tim,"[15, 25, 31]"
21,Cheryl,"[14, 15, 31]"
22,Ferriss,"[15, 25]"
23,Hall,[16]
24,Fassbender,"[8, 9, 16, 17, 25, 39, 40]"
25,Michael,"[8, 9, 12, 16, 17, 19, 25, 32, 39, 40, 41]"
26,Jidenna,"[16, 17]"
27,Jenerals,[17]
28,Terrence,"[17, 23]"
29,Sprouse,[17]
30,Gus,"[2, 19]"
31,Ed,"[21, 31]"
32,Benioff,[21]
33,Rometty,"[21, 31, 39, 40]"
34,Rey,"[22, 27, 28]"
35,Del,"[22, 27, 28]"
36,Gosling,"[24, 25, 40]"
37,GOSLING,[25]
38,Mara,"[25, 39, 40]"
39,Ryan,"[6, 24, 25, 40]"
40,Zack,[25]
41,CharlizeAfrica,[25]
42,McAvoy,[25]
43,Pierce,"[25, 40]"
44,Dale,"[27, 28]"
45,Antonella,"[4, 15, 33]"
46,Randy,[36]
47,Daily,"[2, 35, 36]"
48,Cerf,"[35, 36]"
49,SteveCase,[36]
50,Alex,"[4, 5, 40]"
51,Ginni,"[21, 31, 39, 40]"
52,Bert,[0]
53,Bob,"[2, 10, 14, 32]"
54,Tarkovsky,[2]
55,Esposito,"[2, 11, 21]"
56,Howard,"[4, 18]"
57,Skeletxn,[5]
58,Franco,"[6, 19, 25]"
59,Linklater,"[8, 9, 16, 17]"
60,Hilton,"[2, 8]"
61,Snoop,[8]
62,Baldwin,[8]
63,Yoda,[8]
64,Justin,[10]
65,David,"[4, 9, 10, 15, 21, 25]"
66,Joe,"[0, 4, 8, 10, 11, 13, 20, 26, 31, 33, 34, 35, 38, 39]"
67,Voss,"[11, 12]"
68,Mae,"[10, 12, 22]"
69,Ridley,"[15, 25]"
70,Strayed,[15]
71,Todrick,[16]
72,Cole,[17]
73,Saul,"[2, 19]"
74,Sheeran,[21]
75,Lana,"[22, 27, 28]"
76,RYAN,[25]
77,Rooney,"[25, 39, 40]"
78,Cody,[25]
79,Brosnan,"[25, 40]"
80,Cooper,"[27, 28]"
81,Messi,"[8, 11, 15]"
82,Lawrence,[36]
83,Vint,"[35, 36]"
84,GaryKnell,[36]
85,Gorsky,[40]
