,Entity,Event
0,CoryBooker,[1]
1,Rocks,[]
2,Cialdini,[1]
3,Malick,"[1, 10, 14, 25]"
4,Giancarlo,"[1, 7, 13]"
5,ValaAfshar,"[2, 10]"
6,Shultz,[2]
7,Unknxwn,[2]
8,James,"[3, 5, 7, 15]"
9,Richard,"[5, 6, 10, 11]"
10,Austin,"[0, 2, 3, 5, 7, 8, 9, 10, 18, 19, 25]"
11,Dogg,[5]
12,Frank,"[1, 5, 12, 17]"
13,Oz,"[1, 5, 12]"
14,Hurwitz,[]
15,Leitch,[15]
16,Biden,"[2, 5, 7, 19, 20, 25]"
17,Chris,"[5, 6, 7]"
18,Maggie,[3]
19,Scott,"[2, 9, 15, 20]"
20,Tim,"[9, 15, 19]"
21,Cheryl,"[9, 19]"
22,Ferriss,"[9, 15]"
23,Hall,[10]
24,Fassbender,"[5, 6, 10, 15, 25]"
25,Michael,"[5, 6, 10, 15, 20, 25, 26]"
26,Jidenna,[10]
27,Jenerals,[10]
28,Terrence,"[10, 14, 25]"
29,Sprouse,[10]
30,Gus,[1]
31,Ed,"[13, 19]"
32,Benioff,[13]
33,Rometty,"[13, 19, 25]"
34,Rey,[17]
35,Del,[17]
36,Gosling,"[15, 25]"
37,GOSLING,[15]
38,Mara,"[15, 25]"
39,Ryan,"[3, 15, 25]"
40,Zack,[15]
41,CharlizeAfrica,[15]
42,McAvoy,[15]
43,Pierce,[15]
44,Dale,[17]
45,Jill,"[2, 19, 20]"
46,Randy,[22]
47,Daily,"[1, 22]"
48,Cerf,[22]
49,SteveCase,[22]
50,Alex,[2]
51,Ginni,"[13, 19, 25]"
52,Bert,[]
53,Bob,"[1, 20]"
54,Tarkovsky,[1]
55,Esposito,"[1, 7, 13]"
56,Howard,"[2, 11]"
57,Skeletxn,[2]
58,Franco,"[3, 15]"
59,Linklater,"[5, 6, 10]"
60,Hilton,"[1, 5]"
61,Snoop,[5]
62,Baldwin,[5]
63,Yoda,[5]
64,Justin,[]
65,David,"[2, 6, 9, 13, 15, 22]"
66,Joe,"[2, 5, 7, 8, 12, 16, 19, 20, 21, 22, 24, 25]"
67,Voss,[7]
68,Mae,[]
69,Ridley,"[9, 15]"
70,Strayed,[9]
71,Todrick,[10]
72,Cole,[10]
73,Saul,[1]
74,Sheeran,[13]
75,Lana,[17]
76,RYAN,[15]
77,Rooney,"[15, 25]"
78,Cody,[15]
79,Brosnan,[15]
80,Cooper,[17]
81,JoeBiden,"[7, 19, 20]"
82,Lawrence,[22]
83,Vint,[22]
84,GaryKnell,[22]
85,Gorsky,[]
