,Topic,Time,Document
0,0,0,[]
1,0,1,"[16, 65, 95, 96, 131, 174, 325, 357, 427, 451, 458, 517, 545, 560, 589, 646, 662, 679, 697, 713, 730, 759, 783, 795, 820, 827, 833, 874, 1030, 1038, 1091, 1119, 1135, 1146, 1194, 1219, 1291, 1297, 1318, 1319, 1456, 1472, 1639, 1665, 1761, 1780, 1830, 1846, 1850, 1872, 1919, 1933, 1942, 1946, 1959, 1963, 1967, 1983, 1987, 1993, 1998, 2006, 2009, 2017, 2020, 2024, 2028, 2029, 2031, 2038, 2039, 2047, 2063, 2064, 2067, 2081, 2088, 2089, 2094, 2104, 2109, 2121, 2122, 2155, 2168, 2184, 2207, 2235, 2325, 2337, 2365, 2375, 2400, 2419, 2427, 2443, 2467, 2486, 2501, 2523, 2544, 2546, 2564, 2579, 2596, 2600, 2603, 2641, 2685, 2697, 2721, 2739, 2748, 2787, 2797, 2814, 2827, 2842, 2853, 2909, 2939, 3010, 3045, 3080, 3102, 3104, 3143, 3180, 3189, 3200, 3217, 3256, 3257, 3270, 3381, 3405, 3444, 3446, 3456, 3483, 3558, 3764, 3765, 3796, 3810, 3854, 3872, 3921, 3961, 3967, 3971, 3977, 4003, 4014, 4019, 4021, 4033, 4043, 4052, 4166, 4186, 4194, 4296, 4300, 4316, 4319, 4333, 4397, 4405, 4410, 4435, 4443, 4463, 4470, 4539, 4573, 4583, 4586, 4603, 4662, 4672, 4681, 4686, 4690, 4692, 4703, 4723, 4753, 4892, 4896, 4915, 4916, 4967, 4968, 4988, 5004, 5008, 5034, 5179, 5183, 5192, 5208, 5217, 5241, 5246, 5262, 5315, 5316, 5325, 5344, 5356, 5392, 5420, 5433, 5465, 5470, 5475, 5477, 5492, 5505, 5515, 5516, 5540, 5556, 5591, 5614, 5618, 5630, 5772, 5790, 5818, 5829, 5843, 5865, 5905, 5912, 6033, 6088, 6093, 6137, 6147, 6225, 6237, 6319, 6338, 6415, 6465, 6500, 6515, 6527, 6611, 6623, 6656, 6672, 6676, 6678, 6695, 6698, 6704, 6726, 6731, 6755, 6769, 6770, 6771, 6779, 6801, 6836, 6846, 6860, 6861, 6881, 6902, 6917, 6925, 6956, 6979, 6985, 7055, 7062, 7066, 7157, 7159, 7162, 7184, 7220, 7249, 7294, 7304, 7316, 7324, 7356, 7385, 7395, 7420, 7426, 7427, 7429, 7437, 7456, 7493, 7514, 7536, 7551, 7577, 7616, 7638, 7672, 7673, 7700, 7705]"
2,0,2,"[9304, 9308, 9353, 9360, 9448, 9454, 9562, 9578, 9643, 9772, 9805, 9830, 10100, 10108, 10140, 10221, 10232, 10299, 10353, 10381, 10396, 10417, 10437, 10502, 10594, 10605, 10627, 10698, 10711, 10712, 10775, 10826, 10843, 10885, 10910, 10919, 10925, 10930, 10939, 10950, 10962, 10965, 10987, 11035, 11036, 11037, 11058, 11172, 11173, 11179, 11182, 11193, 11207, 11258, 11304, 11340, 11342, 11411, 11416, 11420]"
3,0,3,"[11610, 11611, 11635, 11741, 11776, 11881, 11907, 11958, 12010, 12047, 12073]"
4,0,4,"[12207, 12266, 12299, 12305, 12326, 12330, 12337, 12372, 12384, 12394, 12419, 12425, 12430, 12431, 12438, 12440, 12512, 12521, 12528, 12540, 12549, 12577, 12584, 12614, 12626, 12628, 12638, 12674, 12681]"
5,0,5,"[12793, 12794, 12795, 12837, 12847, 12928, 12942, 12978, 13008, 13031, 13116, 13142, 13191, 13219, 13220, 13222, 13227, 13236, 13248, 13262, 13267, 13268, 13298]"
6,0,6,"[13463, 13467, 13478, 13483, 13525, 13577, 13603, 13605, 13607, 13608, 13661, 13696, 13697, 13720, 13733, 13800, 13806, 13871]"
7,0,7,"[14038, 14044, 14049, 14110, 14123, 14135, 14159, 14174, 14187, 14196, 14249, 14392, 14495]"
8,0,8,"[14626, 14634, 14728, 14770, 14826, 14869, 14963, 15043, 15047, 15070, 15079, 15083, 15093]"
9,0,9,"[15264, 15310, 15315, 15329, 15363, 15407, 15506, 15534, 15543, 15545, 15556, 15577, 15612, 15642, 15643, 15665, 15673, 15677, 15684, 15685, 15688, 15772]"
