Topic,Word,Frequency
0,help ,0.03
0,express ,0.029
0,winner ,0.029
0,south ,0.028
0,technolog ,0.019
0,word ,0.017
0,pour ,0.016
0,american,0.016
0,long ,0.015
0,roll,0.015
1,snack ,0.027
1,good ,0.029
1,feel ,0.024
1,yesterday ,0.01
1,frank ,0.022
1,foto ,0.021
1,recap ,0.02
1,see ,0.019
1,quiethand ,0.019
1,wish,0.018
2,tonight ,0.022
2,texa ,0.016
2,austin ,0.011
2,catch ,0.02
2,show ,0.028
2,news ,0.028
2,team ,0.022
2,like ,0.02
2,dope ,0.02
2,repres,0.018
3,best ,0.02
3,work ,0.026
3,final ,0.025
3,mixtape,0.026
3,go ,0.03
3,awesom ,0.03
3,present ,0.028
3,give ,0.026
3,wave ,0.021
3,maggi,0.021
4,wifis,0.028
4,crowd ,0.027
4,audienc ,0.027
4,showcas ,0.026
4,trump ,0.025
4,rsvp ,0.023
4,book ,0.022
4,interscop ,0.021
4,break ,0.02
4,intro,0.019
5,great ,0.029
5,moment ,0.019
5,hanson,0.027
5,innov ,0.028
5,talk ,0.027
5,movi ,0.026
5,inspir ,0.024
5,creat ,0.023
5,thursday ,0.021
5,pretti,0.019
6,life ,0.021
6,hear ,0.021
6,media ,0.026
6,social ,0.026
6,fight ,0.025
6,loung ,0.022
6,time ,0.021
6,chat ,0.021
6,epic ,0.02
6,data,0.019
7,prize ,0.017
7,chelsea,0.029
7,barcelon,0.026
7,chris,0.028
7,music,0.019
7,night ,0.028
7,art,0.019
7,sensu ,0.022
7,march ,0.022
7,deal,0.019
8,bring ,0.025
8,sure ,0.019
8,grill ,0.027
8,recip ,0.026
8,check ,0.028
8,video ,0.03
8,sensu ,0.03
8,stop ,0.028
8,march ,0.025
8,music,0.024
9,school ,0.011
9,sign ,0.02
9,beauti ,0.027
9,soon ,0.026
9,kill ,0.025
9,blessed,0.026
9,son,0.03
9,person ,0.021
9,creativ ,0.02
9,scott,0.018
10,shit ,0.019
10,rooki ,0.028
10,dumb ,0.028
10,think ,0.026
10,real ,0.028
10,link ,0.029
10,ywjkm ,0.017
10,design ,0.017
10,human ,0.016
10,doll,0.015
11,perform ,0.018
11,applemusic,0.025
11,live ,0.027
11,hous ,0.027
11,open ,0.027
11,nard,0.026
11,lanadelrey ,0.01
11,russian ,0.023
11,doot ,0.022
11,downtown,0.018
12,lanadelrey ,0.021
12,stage ,0.021
12,round ,0.015
12,make ,0.015
12,year ,0.028
12,stop ,0.028
12,announc ,0.029
12,music ,0.029
12,leav ,0.026
12,pull,0.025
13,wenderland,0.011
13,goa,0.011
13,night ,0.015
13,featur ,0.029
13,read ,0.024
13,helloasia,0.023
13,gonna ,0.021
13,podcast ,0.019
13,seulgi ,0.018
13,stage,0.018
14,listen ,0.011
14,favorite,0.025
14,star ,0.028
14,soni ,0.024
14,list ,0.024
14,talent ,0.021
14,peak ,0.02
14,premier ,0.019
14,applemus ,0.019
14,lostinmus,0.018
15,smile ,0.012
15,lanadreyc,0.025
15,youtub ,0.021
15,mexico ,0.02
15,say ,0.028
15,mashabl ,0.029
15,start ,0.03
15,twinpeak ,0.026
15,tune ,0.026
15,indi,0.025
16,kpop ,0.029
16,love ,0.011
16,baby,0.02
16,wait ,0.03
16,stori ,0.029
16,offici ,0.027
16,ladi ,0.024
16,chris ,0.022
16,dlqyvm,0.022
16,highlight,0.022
17,ultim ,0.015
17,street ,0.025
17,today ,0.027
17,know ,0.029
17,enjoy ,0.029
17,incred ,0.026
17,fuck ,0.024
17,speak ,0.023
17,futur ,0.022
17,citi,0.022
18,face ,0.021
18,perfect ,0.019
18,happen ,0.026
18,thing ,0.027
18,fan ,0.028
18,bettercal,0.027
18,hollywood ,0.026
18,market ,0.021
18,weather ,0.018
18,cancer,0.018
19,girl ,0.015
19,cool ,0.015
19,record ,0.02
19,review ,0.02
19,get ,0.029
19,singl ,0.028
19,power ,0.023
19,artist ,0.023
19,minut ,0.023
19,turn,0.022
20,thank ,0.029
20,latest ,0.029
20,daili ,0.011
20,band ,0.027
20,lauren ,0.028
20,right ,0.028
20,yeri ,0.025
20,trillsammy,0.021
20,drink ,0.021
20,surpris,0.02
21,avohappi ,0.015
21,sweep,0.015
21,form ,0.021
21,song ,0.026
21,amaz ,0.029
21,avocado ,0.025
21,open ,0.023
21,throw ,0.022
21,take ,0.021
21,alamo,0.016
22,concert ,0.029
22,lana ,0.029
22,watch ,0.025
22,festiv ,0.028
22,lanabro,0.02
22,world ,0.019
22,kick ,0.016
22,stand ,0.015
22,proud ,0.015
22,sobr,0.015
23,velvet ,0.029
23,velvet ,0.025
23,chensoolgi ,0.021
23,play ,0.026
23,award ,0.027
23,marcwin_ ,0.027
23,game ,0.028
23,photo ,0.026
23,game ,0.024
23,garth,0.023
24,chanc ,0.016
24,hyolyn ,0.011
24,hyorin ,0.03
24,look ,0.026
24,billboard ,0.01
24,close ,0.022
24,post ,0.022
24,pass ,0.022
24,jidsv ,0.019
24,biackwang,0.015
